Statistics	Correct_Neighbors
Markov^2 *RRE-k-r^2	6
Markov^2 *EMD^2	6
Markov^2 *Jaccard^2	6
Markov^2 *Lengthd^2	6
Markov^2 *AFd^2	6
Markov^2 *Mismatch^2	6
Markov^2 *Canberra^2	6
Markov^2 *Kulczynski1^2	6
Markov^2 *Jensen-Shannon^2	6
RRE-k-r^2 *EMD^2	6
RRE-k-r^2 *Jaccard^2	6
RRE-k-r^2 *Lengthd^2	6
RRE-k-r^2 *AFd^2	6
RRE-k-r^2 *Mismatch^2	6
RRE-k-r^2 *Canberra^2	6
RRE-k-r^2 *Kulczynski1^2	6
RRE-k-r^2 *Jensen-Shannon^2	6
EMD^2 *Jaccard^2	6
EMD^2 *Mismatch^2	6
EMD^2 *Canberra^2	6
EMD^2 *Jensen-Shannon^2	6
Jaccard^2 *Lengthd^2	6
Jaccard^2 *AFd^2	6
Jaccard^2 *Mismatch^2	6
Jaccard^2 *Canberra^2	6
Jaccard^2 *Kulczynski1^2	6
Jaccard^2 *Jensen-Shannon^2	6
Lengthd^2 *Mismatch^2	6
Lengthd^2 *Canberra^2	6
Lengthd^2 *Jensen-Shannon^2	6
AFd^2 *Mismatch^2	6
AFd^2 *Canberra^2	6
AFd^2 *Kulczynski1^2	6
AFd^2 *Jensen-Shannon^2	6
Mismatch^2 *Canberra^2	6
Mismatch^2 *Kulczynski1^2	6
Mismatch^2 *Jensen-Shannon^2	6
Canberra^2 *Kulczynski1^2	6
Canberra^2 *Jensen-Shannon^2	6
Kulczynski1^2 *Jensen-Shannon^2	6
Intersection *Jaccard	5
Intersection *Mismatch	5
Intersection *KL-Cond^2	5
Intersection *RRE-k-r^2	5
Intersection *Canberra^2	5
Jaccard *D2s	5
D2s *Mismatch	5
D2s *Canberra	5
D2s *Manhattan^2	5
D2s *Chi-Squared^2	5
D2s *Squared-Chord^2	5
D2s *Markov^2	5
D2s *EMD^2	5
D2s *Lengthd^2	5
D2s *Kulczynski1^2	5
Similarity-ratio *RRE-k-r^2	5
N2r *Jaccard^2	5
N2r *Mismatch^2	5
N2r *Canberra^2	5
Intersection^2 *Jaccard^2	5
Intersection^2 *Mismatch^2	5
Jaccard^2 *D2s^2	5
D2s^2 *Mismatch^2	5
D2s^2 *Canberra^2	5
Manhattan *D2s	4
Pearson-Coeff *Canberra^2	4
Markov *D2s	4
Intersection *RRE-k-r	4
Intersection *Canberra	4
Intersection *Markov^2	4
D2z *Canberra^2	4
Spearman *Jaccard^2	4
Spearman *Mismatch^2	4
Jaccard *Similarity-ratio	4
Jaccard *N2r	4
Jaccard *N2rrc	4
Jaccard *Intersection^2	4
Jaccard *D2s^2	4
Lengthd *D2s	4
Mismatch *Similarity-ratio	4
Mismatch *N2r	4
Mismatch *N2rrc	4
Mismatch *Intersection^2	4
Mismatch *D2s^2	4
Similarity-ratio *KL-Cond^2	4
Similarity-ratio *Canberra^2	4
D2-star *Jaccard^2	4
D2-star *Mismatch^2	4
N2rc *Canberra^2	4
N2rrc *RRE-k-r^2	4
N2rrc *Canberra^2	4
Manhattan^2 *D2s^2	4
Markov^2 *D2s^2	4
Intersection^2 *RRE-k-r^2	4
Intersection^2 *Canberra^2	4
Jaccard^2 *Similarity-ratio^2	4
Jaccard^2 *N2r^2	4
Jaccard^2 *N2rrc^2	4
Lengthd^2 *D2s^2	4
Mismatch^2 *Similarity-ratio^2	4
Mismatch^2 *N2r^2	4
Mismatch^2 *N2rrc^2	4
Hellinger *Jaccard^2	3
Hellinger *Mismatch^2	3
Manhattan *Intersection	3
Chi-Squared *Intersection	3
Chi-Squared *D2s	3
Harmonic-Mean *Intersection	3
K-Div *Intersection	3
Pearson-Coeff *Jaccard	3
Pearson-Coeff *Mismatch	3
Pearson-Coeff *RRE-k-r^2	3
Pearson-Coeff *EMD^2	3
Squared-Chord *Intersection	3
Squared-Chord *D2s	3
KL-Cond *Intersection	3
KL-Cond *Intersection^2	3
Markov *Intersection	3
Intersection *EMD	3
Intersection *Lengthd	3
Intersection *D2s	3
Intersection *Kulczynski1	3
Intersection *Jensen-Shannon	3
Intersection *Manhattan^2	3
Intersection *Chi-Squared^2	3
Intersection *Harmonic-Mean^2	3
Intersection *Jefferey-Div^2	3
Intersection *K-Div^2	3
Intersection *Squared-Chord^2	3
Intersection *EMD^2	3
Intersection *Lengthd^2	3
Intersection *Kulczynski1^2	3
Intersection *Jensen-Shannon^2	3
RRE-k-r *Intersection^2	3
D2z *Jaccard	3
D2z *Mismatch	3
D2z *RRE-k-r^2	3
D2z *EMD^2	3
SimMM *Jaccard^2	3
SimMM *Mismatch^2	3
EuclideanZ *Jaccard	3
EuclideanZ *Mismatch	3
EuclideanZ *EMD^2	3
EuclideanZ *Canberra^2	3
EMD *D2s	3
Spearman *Jaccard	3
Spearman *Mismatch	3
Spearman *RRE-k-r^2	3
Spearman *Canberra^2	3
Jaccard *D2-star	3
Jaccard *N2rc	3
D2s *Kulczynski1	3
D2s *Harmonic-Mean^2	3
D2s *Intersection^2	3
D2s *RRE-k-r^2	3
Mismatch *D2-star	3
Mismatch *N2rc	3
Canberra *Intersection^2	3
Canberra *D2s^2	3
Kulczynski2 *Jaccard^2	3
Kulczynski2 *Mismatch^2	3
D2-star *Canberra^2	3
N2r *RRE-k-r^2	3
N2rc *RRE-k-r^2	3
N2rc *Jaccard^2	3
N2rc *Mismatch^2	3
N2rrc *Markov^2	3
N2rrc *Jaccard^2	3
N2rrc *Mismatch^2	3
Manhattan^2 *Intersection^2	3
Chi-Squared^2 *Intersection^2	3
Chi-Squared^2 *D2s^2	3
Harmonic-Mean^2 *Intersection^2	3
K-Div^2 *Intersection^2	3
Pearson-Coeff^2 *Jaccard^2	3
Pearson-Coeff^2 *Mismatch^2	3
Squared-Chord^2 *Intersection^2	3
Squared-Chord^2 *D2s^2	3
KL-Cond^2 *Intersection^2	3
Markov^2 *Intersection^2	3
Intersection^2 *EMD^2	3
Intersection^2 *Lengthd^2	3
Intersection^2 *D2s^2	3
Intersection^2 *Kulczynski1^2	3
